#£[0-9]+bn	£[0-9]+bn	DT	DET
auto-mutilate	auto-mutilate	VB	VERB
auto-mutilates	auto-mutilate	VBZ	VERB
auto-mutilated	auto-mutilate	VBZ	VERB
auto-mutilation	auto-mutilation	NN	NOUN
h/o	h/o	NN	NOUN
self-abuse	self-abuse	_	_
self-abused	self-abuse	VBD	VERB
self-abuses	self-abuse	VBZ	VERB
self-cutting	self-cutting	_	_
self-destructive	self-destructive	JJ	ADJ
self-harm	self-harm	_	_
self-harms	self-harm	VBZ	VERB
self-harmed	self-harm	VBD	VERB
self-harmer	self-harmer	NN	NOUN
self-harming	self-harming	_	_
self-hitting	self-hitting	_	_
self-immolate	self-injure	VB	VERB
self-immolated	self-injure	VBD	VERB
self-immolates	self-injure	VBZ	VERB
self-immolating	self-immolating	_	_
self-immolation	self-immolation	NN	NOUN
self-imolating	self-immolating	_	_
self-imolation	self-immolation	NN	NOUN
self-inflict	self-inflict	VB	VERB
self-inflicted	self-inflict	VBN	VERB
self-inflicting	self-inflicting	_	_
self-inflicts	self-inflict	VBZ	VERB
self-injure	self-injure	VB	VERB
self-injured	self-injure	VBD	VERB
self-injures	self-injure	VBZ	VERB
self-injuries	self-injury	NNS	NOUN
self-injurious	self-injurious	JJ	ADJ
self-injure	self-injure	VB	VERB
self-injury	self-injury	NN	NOUN
self-laceration	self-laceration	NN	NOUN
self-mutilate	self-injure	VB	VERB
self-mutilated	self-injure	VBD	VERB
self-mutliates	self-injure	VBZ	VERB
self-mutilated	self-mutilate	VBD	VERB
self-mutilation	self-mutilation	NN	NOUN
self-poison	self-poison	VB	VERB
self-poisons	self-poison	VBZ	VERB
self-poisoned	self-poison	VBD	VERB
self-poisoning	self-poisoning	_	_
# annoying, but only matches on graphical form
Auto-mutilated	auto-mutilate	VBZ	VERB
Auto-mutilation	auto-mutilation	NN	NOUN
H/o	h/o	NN	NOUN # added post-eval
Self-harm	self-harm	NN	NOUN
Self-abuse	self-abuse	NN	NOUN
Self-cutting	self-cutting	_	_
Self-harm	self-harm	NN	NOUN
Self-harmed	self-harm	VB	VERB
Self-harmer	self-harmer	NN	NOUN
Self-harming	self-harming	_	_
Self-hitting	self-hitting	_	_
Self-immolating	self-immolating	_	_
Self-immolation	self-immolation	NN	NOUN
Self-imolating	self-immolating	_	_
Self-imolation	self-immolation	NN	NOUN
Self-injuries	self-injury	NN	NOUN
Self-injurious	self-injurious	JJ	ADJ
Self-injure	self-injure	VB	VERB
Self-injury	self-injury	NN	NOUN
Self-laceration	self-laceration	NN	NOUN
Self-mutilated	self-mutilate	VBZ	VERB
Self-mutilation	self-mutilation	NN	NOUN
Self-poisoning	self-poisoning	_	_
